product_name,overall_rating,no_ratings,no_reviews,rating,brand
samsung galaxy book4 intel core i7 13th gen 1355u - (16 gb/512...,4.5,1066,61,4,samsung
samsung galaxy book4 intel core i7 13th gen 1355u - (16 gb/512...,4.5,1066,61,5,samsung
samsung galaxy book4 intel core i7 13th gen 1355u - (16 gb/512...,4.5,1066,61,5,samsung
samsung galaxy book4 intel core i7 13th gen 1355u - (16 gb/512...,4.5,1066,61,5,samsung
samsung galaxy book4 intel core i7 13th gen 1355u - (16 gb/512...,4.5,1066,61,4,samsung
samsung galaxy book4 intel core i7 13th gen 1355u - (16 gb/512...,4.5,1066,61,5,samsung
samsung galaxy book4 intel core i7 13th gen 1355u - (16 gb/512...,4.5,1066,61,5,samsung
samsung galaxy book4 intel core i7 13th gen 1355u - (16 gb/512...,4.5,1066,61,5,samsung
samsung galaxy book4 intel core i7 13th gen 1355u - (16 gb/512...,4.5,1066,61,5,samsung
samsung galaxy book4 intel core i7 13th gen 1355u - (16 gb/512...,4.5,1066,61,5,samsung
samsung galaxy book4 intel core i7 13th gen 1355u - (16 gb/512...,4.5,1066,61,5,samsung
samsung galaxy book4 intel core i7 13th gen 1355u - (16 gb/512...,4.5,1066,61,5,samsung
samsung galaxy book4 intel core i7 13th gen 1355u - (16 gb/512...,4.5,1066,61,5,samsung
samsung galaxy book4 intel core i7 13th gen 1355u - (16 gb/512...,4.5,1066,61,4,samsung
samsung galaxy book4 intel core i7 13th gen 1355u - (16 gb/512...,4.5,1066,61,5,samsung
samsung galaxy book4 intel core i7 13th gen 1355u - (16 gb/512...,4.5,1066,61,5,samsung
samsung galaxy book4 intel core i7 13th gen 1355u - (16 gb/512...,4.5,1066,61,5,samsung
samsung galaxy book4 intel core i7 13th gen 1355u - (16 gb/512...,4.5,1066,61,5,samsung
samsung galaxy book4 intel core i7 13th gen 1355u - (16 gb/512...,4.5,1066,61,5,samsung
samsung galaxy book4 intel core i7 13th gen 1355u - (16 gb/512...,4.5,1066,61,5,samsung
samsung galaxy book4 intel core i7 13th gen 1355u - (16 gb/512...,4.5,1066,61,3,samsung
samsung galaxy book4 intel core i7 13th gen 1355u - (16 gb/512...,4.5,1066,61,5,samsung
